Adjusted_BoxOffice,BoxOffice,NLP_Score,Director,Runtime,Title,Writer,Year,imdbRating,imdbVotes,Internet_Movie_Database,Rotten_Tomatoes,Metacritic,First_actor,Second_actor,Third_actor,Forth_actor,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count
36.7978260347705,34.916787,5.868301900462054,J Blakeson,112,The 5th Wave,Susannah Grant,2016,5.2,86773,5.2,1.6,3.3,Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1
84.93065253035121,34.901614,17.70814139378939,Robert Benton,111,Places in the Heart,Robert Benton,1984,7.4,9005,7.4,9.6,7.0,Sally Field, Lindsay Crouse, Ed Harris, Amy Madigan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
56.05837819746445,34.767836,7.302370063905189,Martin Lawrence,108,A Thin Line Between Love and Hate,Martin Lawrence,1996,5.7,3692,5.7,1.2,5.756892877173304,Martin Lawrence, Lynn Whitfield, Regina King, Bobby Brown,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,USA,1
43.5355124797101,34.703228,11.635127302050588,Liz Friedlander,118,Take the Lead,Dianne Houston,2006,6.7,23333,6.7,4.4,5.5,Antonio Banderas, Rob Brown, Yaya DaCosta, Alfre Woodard,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,USA,1
47.5512623586,34.6,9.00687404353422,Andrzej Bartkowiak,101,Cradle 2 the Grave,John O'Brien,2003,5.8,38289,5.8,2.5,3.6,Jet Li, DMX, Anthony Anderson, Kelly Hu,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1
84.44074699877986,34.700291,15.334740294690228,Roland Joffé,141,The Killing Fields,Bruce Robinson,1984,7.9,46510,7.9,9.3,5.756892877173304,Sam Waterston, Haing S. Ngor, John Malkovich, Julian Sands,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,UK,1
57.56956688457415,34.693481,14.152251288819649,Danny Cannon,96,Judge Dredd,John Wagner,1995,5.5,99586,5.5,1.7,5.756892877173304,Sylvester Stallone, Armand Assante, Rob Schneider, Jürgen Prochnow,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1
54.639037062650516,34.673095,15.560248119998498,Griffin Dunne,100,Addicted to Love,Robert Gordon,1997,6.1,21780,6.1,5.5,4.9,Meg Ryan, Matthew Broderick, Kelly Preston, Tchéky Karyo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
74.13790167949311,34.67072,21.922274128635006,Stephen Frears,119,Dangerous Liaisons,Christopher Hampton,1988,7.6,58480,7.6,9.3,7.4,Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"USA, UK",2
70.68909247963522,34.667015,7.797515255696314,John Glen,133,Licence to Kill,Michael G. Wilson,1989,6.6,83622,6.6,7.7,5.8,Timothy Dalton, Carey Lowell, Robert Davi, Talisa Soto,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"UK, Mexico, USA",3
