,BoxOffice,Runtime,Title,Year,imdbVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,score_of_D,score_of_W,score_of_A
72,132866990.96649183,120,It's Complicated,2009,79373,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"USA, Japan",2,0.2655071083742924,0.18793083211738662,4.229836817238792
73,161008772.71492547,88,Spy Kids,2001,98763,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,0.4056850613755083,0.17346031909016799,1.8762115378183317
74,147529615.48237914,91,The Grudge,2004,130566,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,"USA, Japan",2,0.0990133104013145,0.07773198557960724,0.693641069380061
75,142850658.50075433,90,Fun with Dick and Jane,2005,123886,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.11446624735841095,0.16598245229823413,3.015387528633068
76,151422604.0479202,97,Freaky Friday,2003,114090,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,USA,1,0.4050255967135221,0.04154583350809167,1.44829796372098
77,151178954.6779482,84,Scary Movie 3,2003,127274,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Canada",2,0.215184591093705,0.09379621417481676,0.8933094734939957
78,141440366.59955844,116,The 40-Year-Old Virgin,2005,353562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.23390078423073357,0.16598245229823413,2.5747567270646368
79,175370303.61723018,149,A Time to Kill,1996,118966,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,0.795342530468743,0.18207745419470223,4.8288350636215185
80,124042902.64966206,108,Black Swan,2010,629744,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,0.2998817943456814,0.02448435629570929,2.6191504316991665
81,186555977.45405048,117,Indecent Proposal,1993,58454,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.2547431780034381,0.017388807273391232,3.8452325994320047
82,693798317.0062009,100,Love Story,1970,32941,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.5638886646236847,0.045622023730554545,0.6349372112421793
83,145672214.77344137,111,The Italian Job,2003,317691,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, France, UK, Italy",4,0.3453345949513535,0.04835507529013513,4.3777967171140935
84,170086905.5388751,103,The First Wives Club,1996,40299,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.22476022327698905,0.019620236995801184,3.185723733025522
85,122033449.02844648,140,Robin Hood,2010,235238,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"USA, UK",2,0.9773578648821781,0.21240836353637813,4.28127366398364
86,146295622.20368248,117,Road to Perdition,2002,226027,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,0.347651261039719,0.023732229971741712,1.2811014946265966
87,200743253.43161985,105,Dick Tracy,1990,56298,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,USA,1,0.1798418874082673,0.020636537363828384,0.4662880775041248
88,129590781.5594,130,Dreamgirls,2006,64690,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,USA,1,0.27586381630912815,0.022714931624373925,2.8191081730164695
89,316960063.72751546,109,9 to 5,1980,28690,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.1236034736794378,0.02228285421448499,1.423078876886948
90,179033065.54347742,128,In the Line of Fire,1993,86167,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,0.32775657717535367,0.04682887804235142,3.779594085726434
91,119390203.27450596,93,Journey to the Center of the Earth,2008,102378,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,0.06294021267322908,0.02012030873369363,1.3945692503762253
92,521573815.1328139,105,Gone in 60 Seconds,1974,13585,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.03480835649292724,0.01993139048899131,0.11966833315585818
93,173472873.27983433,127,Maverick,1994,95916,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,USA,1,0.7066223780731747,0.042699640231489436,2.7750667380670055
94,188587033.7231789,99,Sleeping with the Enemy,1991,46656,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,0.3250905197090396,0.017898234811214688,1.5310487628424645
95,163325233.25066042,115,Eraser,1996,97246,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,USA,1,0.23463089269867526,0.018929508758283847,2.2917909348292045
96,182360149.2215111,130,Unforgiven,1992,333306,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,USA,1,1.3658918455887712,0.06684826562357003,5.323841998557204
97,138045568.1286632,82,The Cat in the Hat,2003,45168,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.01772615813404162,0.03185732865932692,2.9716763257077536
98,153383661.25984854,105,Sleepy Hollow,1999,302104,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Germany, USA",2,0.7316302385942162,0.022524107571487685,3.3174799494041975
